type,order_release_id,details
Missing Settlement,8336519568,Order Amount: ₹699.00
Missing Settlement,8337289517,Order Amount: ₹799.00
Missing Settlement,8328127232,Order Amount: ₹799.00
Missing Settlement,8334239244,Order Amount: ₹599.00
Missing Settlement,8324636397,Order Amount: ₹649.00
Missing Settlement,8336298850,Order Amount: ₹899.00
Missing Settlement,8338087187,Order Amount: ₹949.00
Missing Settlement,8324748289,Order Amount: ₹599.00
Missing Settlement,8325960075,Order Amount: ₹799.00
Missing Settlement,8312300226,Order Amount: ₹799.00
Missing Settlement,8322724923,Order Amount: ₹799.00
Missing Settlement,8328162404,Order Amount: ₹599.00
Missing Settlement,8328225591,Order Amount: ₹599.00
Missing Settlement,8327935372,Order Amount: ₹599.00
Missing Settlement,8339916742,Order Amount: ₹949.00
Missing Settlement,8332259973,Order Amount: ₹899.00
Missing Settlement,8334248403,Order Amount: ₹799.00
Missing Settlement,8327858266,Order Amount: ₹799.00
Missing Settlement,8325321665,Order Amount: ₹849.00
Missing Settlement,8338379603,Order Amount: ₹599.00
Missing Settlement,8326834907,Order Amount: ₹799.00
Missing Settlement,8334099677,Order Amount: ₹799.00
Missing Settlement,8327509464,Order Amount: ₹899.00
Missing Settlement,8318136639,Order Amount: ₹749.00
Missing Settlement,8333677361,Order Amount: ₹649.00
Missing Settlement,8330805110,Order Amount: ₹649.00
Missing Settlement,8339873352,Order Amount: ₹799.00
Missing Settlement,8327581279,Order Amount: ₹599.00
Missing Settlement,8324858131,Order Amount: ₹599.00
Missing Settlement,8338068125,Order Amount: ₹799.00
Missing Settlement,8333872751,Order Amount: ₹599.00
Missing Settlement,8313865992,Order Amount: ₹999.00
Missing Settlement,8334454027,Order Amount: ₹799.00
Missing Settlement,8335133871,Order Amount: ₹499.00
Missing Settlement,8336356804,Order Amount: ₹599.00
Missing Settlement,8332850603,Order Amount: ₹799.00
Missing Settlement,8337662680,Order Amount: ₹949.00
Missing Settlement,8324872126,Order Amount: ₹649.00
Missing Settlement,8322729882,Order Amount: ₹649.00
Missing Settlement,8319673468,Order Amount: ₹599.00
Missing Settlement,8328033352,Order Amount: ₹949.00
Missing Settlement,8325841187,Order Amount: ₹649.00
Missing Settlement,8333881609,Order Amount: ₹699.00
Missing Settlement,8340192305,Order Amount: ₹599.00
Missing Settlement,8306707234,Order Amount: ₹699.00
Missing Settlement,8339528236,Order Amount: ₹799.00
Missing Settlement,8326813506,Order Amount: ₹799.00
Missing Settlement,8331248753,Order Amount: ₹899.00
Missing Settlement,8338365062,Order Amount: ₹599.00
Missing Settlement,8323757660,Order Amount: ₹649.00
Missing Settlement,8326690286,Order Amount: ₹599.00
Missing Settlement,8332395062,Order Amount: ₹799.00
Missing Settlement,8332480325,Order Amount: ₹799.00
Missing Settlement,8325312937,Order Amount: ₹599.00
Missing Settlement,8325339533,Order Amount: ₹899.00
Missing Settlement,8324003715,Order Amount: ₹649.00
Missing Settlement,8324314829,Order Amount: ₹799.00
Missing Settlement,8335004587,Order Amount: ₹699.00
Missing Settlement,8322805732,Order Amount: ₹699.00
Missing Settlement,8328232600,Order Amount: ₹599.00
